threshold,zero-crossing_rate,mean_mfcc,std_mfcc,spectral_centroid,spectral_rolloff,spectral_flux,mean_frequency_domain_real,std_frequency_domain,energy_entropy,sound_type
0.12492940459685409,0.212488364815315,0.45817801983349127,0.6765567456658462,0.4793457279005959,0.7312049433573635,0.07213894838947091,0.7262389649425565,0.013327303658209166,0.9598487557379166,3
0.19898392110320698,0.006237967096908327,0.7293194237915365,0.4444900944265314,0.028915724575151396,0.035015447991761074,0.11867280462260299,0.7454207950761413,0.1108269563492236,0.8572291766838924,1
0.1437888241034472,0.004150174486402445,0.778526274613033,0.3914591739536476,0.044636173980195926,0.05870236869207003,0.03862045805107846,0.7418279300816976,0.17971099139438051,0.8318769826232956,2
0.040113710400798974,0.024956510134111324,0.6438670270248823,0.5138869839509526,0.06099099590396629,0.07209062821833162,0.009516732709664666,0.7205846308390048,0.08877141976960667,0.8663486497982273,0
0.08310389380289755,0.14249696527284672,0.47998731723633137,0.5485431265442355,0.07041238740548028,0.028836251287332648,0.02660237282659133,0.725126988142852,0.03466971468547148,0.8570550053807027,3
0.2500800741273512,0.016306883411276035,0.6392225632384427,0.5354235043004273,0.03297479091074692,0.04943357363542739,0.08942397166583488,0.7222085739168658,0.05716387881804833,0.8625816849015278,0
0.22324059304665886,0.005252042721662537,0.7294556698372383,0.5221581826480313,0.03550091553758615,0.05046343975283213,0.03529769324996761,0.7378493937893689,0.10205712615328497,0.9647731058890411,2
0.07890082670744364,0.20533468472553368,0.5110818997334259,0.6786117748740246,0.7400332459290792,0.952626158599382,0.1977403844770882,0.7257098378909351,0.005875959531998863,0.8371114310450063,3
0.1968725617728246,0.010261935512993233,0.7165241985953497,0.5038754464515947,0.046110362686290964,0.061791967044284246,0.07865502879175121,0.7130755669459788,0.06209962010032264,0.8885294150319591,2
0.26533465662323114,0.008997370116862819,0.766232107041953,0.4775121252763857,0.041410642084167976,0.04943357363542739,0.04570063735949043,0.7017003006042669,0.11704284244308896,0.9177245461797324,0
0.25496651328017483,0.00948381874623317,0.8141098217495629,0.37756552360171697,0.026243314676967198,0.018537590113285273,0.029747313920726683,0.736749993696545,0.4310354487449123,0.9716830698013976,1
0.192988320117495,0.005423628984487311,0.7009147900773982,0.535441426488635,0.03953576633788837,0.06282183316168898,0.2411012953427268,0.7276527623728538,0.04412445273703072,0.7532761978174749,2
0.06617858565089818,0.08682351320008488,0.5122397743076881,0.5617122343441477,0.17756071579019636,0.2780638516992791,0.05337009186624086,0.7222202802288396,0.029627326953007318,0.7657734316522288,3
0.1899906831675873,0.00849242266667726,0.7737856970900249,0.45321928847570464,0.030844761449665838,0.044284243048403706,0.04031919200702644,0.7722225866844339,0.1704556619894752,0.9450891816849535,0
0.09552748200096209,0.20754273127826836,0.5350401294363452,0.5257296321450916,0.18634780825955594,0.3027806385169928,0.09540754948360648,0.734162104706108,0.05565882822236747,0.841445264633001,3
0.17598515360529415,0.006590180064444598,0.7470998362955195,0.4405333904424707,0.039249625020886615,0.055612770339855816,0.04553554871448345,0.7388658667410879,0.24990054569300588,0.9903802227055415,2
0.14110464574241663,0.006930352571303608,0.7794116137330507,0.4455418438924076,0.0293809939057028,0.04016477857878476,0.06611815739306366,0.7290188375497345,0.1488776026598312,0.9293221215512766,0
